00/05-04-039-11 W5M/00 Well,,,,
(GMT-07:00) Mountain Time (US & Canada),Differential Pressure [15] (in H2O),Flowing Temperature [13] (°C),Gas Flow Rate [19] (E3M3/Day),Static Pressure [14] (kPa)
1/10/2016 8:59,-6.312046365,18.05325699,0,1780.877441
1/10/2016 9:03,-6.406551339,18.3760891,0,1808.054321
1/10/2016 9:08,-6.319269557,18.79524612,0,1844.266357
1/10/2016 9:13,-6.372030199,19.36887169,0,1875.720215
1/10/2016 9:18,-6.452373868,19.88458824,0,1906.960938
1/10/2016 9:23,-6.47311981,20.38497925,0,1943.637329
1/10/2016 9:28,-6.418228788,20.87138748,0,1983.286621
1/10/2016 9:33,-6.426189715,21.33095169,0,2021.474365
1/10/2016 9:38,-6.53106766,21.77069473,0,2056.054932
1/10/2016 9:43,-6.460673482,22.19337845,0,2089.459473
1/10/2016 9:48,-6.515395402,22.60931015,0,2127.151367
1/10/2016 9:53,-6.541081811,22.9919281,0,2161.851074
1/10/2016 9:58,-6.509868058,23.36086082,0,2192.686035
1/10/2016 9:59,-6.543848335,23.57893753,0,2215.328613
1/10/2016 10:03,-6.619929877,23.77962875,0,2233.995361
1/10/2016 10:08,-6.570832993,24.01794624,0,2265.169434
1/10/2016 10:13,-6.580062472,24.38113594,0,2294.486328
1/10/2016 10:18,-6.647730351,24.68605232,0,2322.121338
1/10/2016 10:23,-6.697251639,25.03664207,0,2361.239502
1/10/2016 10:28,-6.752685413,25.33314323,0,2396.815674
1/10/2016 10:33,-6.786938312,25.60217857,0,2423.978027
1/10/2016 10:38,-6.706716326,25.85579109,0,2461.152588
1/10/2016 10:43,-6.742389599,26.13173103,0,2496.919922
1/10/2016 10:48,-6.692212958,26.37137032,0,2522.156494
1/10/2016 10:53,-6.692748074,26.60336304,0,2544.720703
1/10/2016 10:58,-6.732927805,26.81782341,0,2565.242676
1/10/2016 10:59,-6.76681899,26.98976517,0,2579.39209
1/10/2016 11:03,-6.773154956,27.09480095,0,2592.563721
1/10/2016 11:08,-6.781083292,27.23433304,0,2612.230713
1/10/2016 11:13,-6.836427009,27.51750755,0,2634.823975
1/10/2016 11:18,-6.867189995,27.73402596,0,2656.782715
1/10/2016 11:23,-6.885200998,27.9443264,0,2677.984131
1/10/2016 11:28,-6.851293539,28.12198067,0,2698.053955
1/10/2016 11:33,-6.803244344,28.32053185,0,2717.596191
1/10/2016 11:38,-6.828849336,28.54624939,0,2737.183838
1/10/2016 11:43,-6.860657118,28.76438904,0,2755.82251
1/10/2016 11:48,952.3627013,9.57176113,72.12794939,1362.012695
1/10/2016 11:53,901.8215216,3.59276104,67.85981825,1226.324951
1/10/2016 11:58,712.0334237,2.88909602,59.93802609,1181.943848
1/10/2016 11:59,618.9685809,2.70343876,55.33210613,1144.968262
1/10/2016 12:03,560.4328793,2.68037248,52.16142808,1116.11377
1/10/2016 12:08,518.3360575,2.66936302,49.72803937,1091.10022
1/10/2016 12:13,449.0468481,2.76178026,45.54344704,1048.082764
1/10/2016 12:18,370.3834092,2.96904135,40.4841725,993.3164673
1/10/2016 12:23,317.9864109,3.11522961,36.80991134,949.5452881
1/10/2016 12:28,290.6932148,3.155159,34.75498252,921.880249
1/10/2016 12:33,261.6843753,3.28037429,32.5861097,896.1011353
1/10/2016 12:38,217.1499559,3.39973521,29.13428326,858.5959473
1/10/2016 12:43,181.7856351,3.5880847,26.15581128,819.930481
1/10/2016 12:48,170.7632131,3.66677618,25.04124243,797.8601074
1/10/2016 12:53,154.5376465,3.72420549,23.55388956,777.5123291
1/10/2016 12:58,141.9283354,3.82791662,22.38717665,762.9718018
