00/07-11-041-08 W5M/02
(GMT-07:00) Mountain Time (US & Canada),Differential Pressure [15] (in H2O),Flowing Temperature [13] (°C),Gas Flow Rate [19] (E3M3/Day),Static Pressure [14] (kPa)
12/17/2015 11:39:59,8.678728661024,5.55170584,6.64705902439,402.26504517
12/17/2015 11:42:41,8.87672853902,5.57398367,6.73492189267,404.30325317
12/17/2015 11:47:41,8.973830011006,5.60536289,6.77913891406,405.51654053
12/17/2015 11:52:41,9.547473788368,5.62171221,6.95842531695,400.76437378
12/17/2015 11:57:41,9.95395626339,5.66615057,7.07769289802,397.20272827
12/17/2015 11:59:59,10.004823219958,5.72797585,7.09147297861,396.74047852
12/17/2015 12:04:59,10.183169451492,5.77610922,7.14193234471,395.21847534
12/17/2015 12:09:59,10.265791023586,5.86149693,7.16592014509,394.99838257
12/17/2015 12:14:59,10.44951032425,5.86387348,7.20619369492,391.92028809
12/17/2015 12:19:59,10.859828110926,5.90834999,7.31407492249,387.76504517
12/17/2015 12:24:59,11.217679859722,6.01976442,7.39978644066,383.74319458
12/17/2015 12:29:59,12.05330605684,6.11540985,7.57922318328,372.96490479
12/17/2015 12:34:59,12.536832930132,6.16057301,7.66489289411,365.3180542
12/17/2015 12:39:59,12.46519226291,6.17475891,7.62274058815,362.97698975
12/17/2015 12:42:41,12.785394190352,6.16426182,7.67805371517,358.28826904
12/17/2015 12:47:41,13.509987032074,6.16590595,7.8167999883,349.81091309
12/17/2015 12:52:41,14.732225495398,6.12567139,8.02537017063,335.34759521
12/17/2015 12:57:41,15.84255872787,6.08255482,8.17112609233,320.06057739
12/17/2015 12:59:59,16.668264649214,6.12710762,8.26884016394,309.2364502
12/17/2015 13:04:59,16.923957075878,6.15729094,8.23975931575,300.58828735
12/17/2015 13:09:59,17.44740070297,6.24741364,8.23561677909,288.61611938
12/17/2015 13:14:59,15.579530025418,6.43719435,7.90392313436,300.71166992
12/17/2015 13:19:59,15.652738187756,6.46828365,7.96084589913,304.3666687
12/17/2015 13:24:59,15.202155877636,6.39540148,7.85699783833,305.27377319
12/17/2015 13:29:59,15.008675357386,6.40563774,7.80874889723,305.46383667
12/17/2015 13:34:59,15.524623692688,6.46842575,7.89406473264,300.8850708
12/17/2015 13:39:59,15.943830823494,6.49220467,7.93947788302,295.25582886
12/17/2015 13:42:41,16.165974128802,6.54009295,7.94387554271,290.31872559
12/17/2015 13:47:41,15.446359609132,6.57898474,7.82039000653,295.80609131
12/17/2015 13:52:41,14.999786013256,6.59319544,7.75822236422,300.90509033
12/17/2015 13:57:41,19.144972315116,6.44338608,8.35592608875,268.84701538
12/17/2015 13:59:59,22.595070738314,6.31622076,8.58141860321,228.11218262
12/17/2015 14:04:59,24.178426183492,6.32148266,8.63314939886,211.02708435
12/17/2015 14:09:59,25.665087361422,6.31062984,8.66424629746,195.72003174
12/17/2015 14:14:59,26.771586246704,6.29345798,8.69836263424,186.16230774
12/17/2015 14:19:59,27.289451775694,6.23631811,8.68348686898,179.92610168
12/17/2015 14:24:59,28.106950510258,6.22234488,8.6783693128,171.81904602
12/17/2015 14:29:59,28.269612507666,6.23605585,8.60674411034,166.82971191
12/17/2015 14:34:59,36.23576683436,6.08161926,9.5889361717,171.25112915
12/17/2015 14:39:59,28.297466670032,6.2116909,8.59436219326,164.9825592
12/17/2015 14:42:41,28.576609757554,6.13505363,8.62893139364,164.53248596
12/17/2015 14:47:41,28.057098210004,6.03668404,8.57405800962,165.75958252
12/17/2015 14:52:41,27.470729817044,5.96900702,8.51723278119,167.65045166
12/17/2015 14:57:41,27.847929637958,5.8851428,8.5231985449,164.43231201
12/17/2015 14:59:59,26.970167736678,5.81500387,8.47434392932,169.54176331
12/17/2015 15:04:59,28.058318819568,5.73656893,8.5393939713,163.38516235
12/17/2015 15:09:59,28.226873169598,5.65639353,8.50401162141,159.69012451
12/17/2015 15:14:59,26.70901025513,5.61325741,8.37668656354,165.87631226
12/17/2015 15:19:59,27.60250618099,5.52165461,8.44576173206,161.63435364
12/17/2015 15:24:59,26.784484305078,5.4982357,8.37499109881,164.86917114
12/17/2015 15:29:59,25.854733534482,5.44464874,8.30230134756,169.37458801
12/17/2015 15:34:59,25.423149517536,5.38482189,8.28023035378,172.25924683
12/17/2015 15:39:59,24.877744120886,5.33247757,8.19490364059,172.36929321
12/17/2015 15:42:41,24.049156220366,5.31085587,8.15847010626,178.98974609
12/17/2015 15:47:41,22.686884415862,5.28504181,8.07062798363,189.08699036
12/17/2015 15:52:41,22.463073994344,5.20730305,8.05931059264,190.80110168
12/17/2015 15:57:41,22.887859223252,5.12610817,8.1298901055,190.28421021
12/17/2015 15:59:59,23.35785189379,5.08144188,8.16742617991,187.24555969
12/17/2015 16:04:59,23.506996888052,5.00985003,8.18372132019,186.49246216
12/17/2015 16:09:59,23.880536688644,4.93416357,8.20530366651,183.4977417
12/17/2015 16:14:59,23.89413225542,4.86725235,8.19187417064,182.36054993
12/17/2015 16:19:59,24.461152616448,4.78937006,8.23549046497,178.89897156
12/17/2015 16:24:59,24.626916973056,4.75380611,8.24880317796,177.97187805
12/17/2015 16:29:59,24.611926389476,4.71554804,8.22392020849,176.40115356
12/17/2015 16:34:59,24.751371487988,4.64565802,8.24241581088,176.06098938
12/17/2015 16:39:59,24.136767607708,4.6050396,8.20946425161,180.55305481
12/17/2015 16:42:41,24.224106895644,4.54650307,8.21905864061,180.14459229
12/17/2015 16:47:41,24.418969010574,4.5161376,8.229639076,178.68553162
12/17/2015 16:52:41,24.50716868077,4.44842386,8.21967132605,176.99142456
12/17/2015 16:57:41,24.231764096828,4.3824892,8.18074498465,177.36158752
12/17/2015 16:59:59,24.487812973312,4.33233929,8.17858344687,174.38456726
12/17/2015 17:04:59,24.099813325642,4.27304983,8.17921742529,178.67886353
12/17/2015 17:09:59,23.76601587161,4.23116684,8.16765762972,181.57685852
12/17/2015 17:14:59,23.818830643598,4.22182798,8.18905853736,182.40391541
12/17/2015 17:19:59,24.018412403298,4.18743896,8.18175869284,179.61262512
