00/05-04-039-11 W5M/00 Well
(GMT-07:00) Mountain Time (US & Canada),Differential Pressure [15] (in H2O),Flowing Temperature [13] (°C),Gas Flow Rate [19] (E3M3/Day),Static Pressure [14] (kPa)
12/17/2015 08:18:14,-6.75566705349,16.15239334,0,1920.42028809
12/17/2015 08:23:14,-6.78023154971,16.55888748,0,1959.4798584
12/17/2015 08:28:14,-6.790777923364,16.94444847,0,1999.84655762
12/17/2015 08:33:14,-6.83319388469,17.31369019,0,2039.50549316
12/17/2015 08:38:14,-6.88996565154,17.65133667,0,2077.22827148
12/17/2015 08:43:14,-6.854254081338,17.97249985,0,2114.05932617
12/17/2015 08:48:14,-6.87114554309,18.2705555,0,2151.48095703
12/17/2015 08:53:14,-6.827295303238,18.56128883,0,2187.02685547
12/17/2015 08:58:14,-6.920976303648,18.82862663,0,2222.61181641
12/17/2015 08:59:59,-6.946364733426,19.01084137,0,2245.0065918
12/17/2015 09:03:14,-6.98600074783,19.14081573,0,2262.58959961
12/17/2015 09:08:14,-6.943996291144,19.31016922,0,2290.20043945
12/17/2015 09:13:14,-6.951652085818,19.60972786,0,2323.51611328
12/17/2015 09:18:14,-6.934191992166,19.7912941,0,2356.83569336
12/17/2015 09:23:14,-6.932812286228,19.94068909,0,2389.08789063
12/17/2015 09:28:14,-6.991569281664,20.13187408,0,2420.37939453
12/17/2015 09:33:14,-7.043837483866,20.33496475,0,2451.01000977
12/17/2015 09:38:14,-7.056920438026,20.52725601,0,2481.30737305
12/17/2015 09:43:14,-6.966968899346,20.71589088,0,2511.54882813
12/17/2015 09:48:14,-7.032186879304,20.88561821,0,2540.57324219
12/17/2015 09:53:14,-7.078082224882,21.00996971,0,2568.7253418
12/17/2015 09:58:14,-7.11727796147,21.11143494,0,2596.41650391
12/17/2015 09:59:59,-7.006615442482,21.23508644,0,2613.98925781
12/17/2015 10:03:14,-7.018475375918,21.29784775,0,2628.84082031
12/17/2015 10:08:14,-7.075405716724,21.41633797,0,2650.35375977
12/17/2015 10:13:14,-7.109951290136,21.60724831,0,2676.6640625
12/17/2015 10:18:14,-7.151497787166,21.73701096,0,2702.76416016
12/17/2015 10:23:14,-7.083561143936,21.87068939,0,2728.76611328
12/17/2015 10:28:14,-7.044108136576,22.02234268,0,2754.18408203
12/17/2015 10:33:14,-7.088071942064,22.21158028,0,2778.80371094
12/17/2015 10:38:14,-7.131709477418,22.41191292,0,2801.7746582
12/17/2015 10:43:14,-7.16409163752,22.60329437,0,2823.47387695
12/17/2015 10:48:14,915.568008278602,11.82909393,79.73489156731,1759.5189209
12/17/2015 10:53:14,953.335526791262,.42553368,72.07944539254,1293.08325195
12/17/2015 10:58:14,787.947411969936,-.11022426,65.58438539691,1270.08276367
12/17/2015 10:59:59,672.01770648734,-.22585566,60.07934396352,1232.8659668
12/17/2015 11:03:14,612.459694926164,-.17598829,56.77198933266,1201.0065918
12/17/2015 11:08:14,534.605819730362,-.24223936,52.30592595867,1157.58178711
12/17/2015 11:13:14,476.05113982727,.02391046,48.76581084775,1123.71350098
12/17/2015 11:18:14,414.563389634102,.21309347,44.82156946408,1082.78125
12/17/2015 11:23:14,375.507866179446,.39706072,42.08933510413,1049.67175293
12/17/2015 11:28:14,308.035353889094,.56269062,37.37644692835,1002.21270752
12/17/2015 11:33:14,245.993709408636,.80233121,32.72651444145,952.86694336
12/17/2015 11:38:14,224.759747371428,.93390447,30.84412242992,923.4173584
12/17/2015 11:43:14,194.19611938455,1.0464735,28.21333582146,891.86407471
12/17/2015 11:48:14,127.7335458531,1.18689251,22.28559214654,836.37213135
12/17/2015 11:53:14,125.252043796468,1.27629697,21.84350908479,818.5791626
12/17/2015 11:58:14,117.91317488626,1.30575788,21.00404470467,802.55438232
12/17/2015 11:59:59,96.306707717402,1.34340274,18.84118090155,788.53186035
12/17/2015 12:03:14,104.644976206152,1.39760685,19.57194774272,782.11712646
12/17/2015 12:08:14,111.972194511798,1.38785625,20.22926374656,780.39685059
12/17/2015 12:13:14,112.695589730348,1.51174343,20.24072905618,777.76165771
12/17/2015 12:18:14,110.670270144052,1.61302638,20.03559674271,775.45361328
12/17/2015 12:23:14,104.452641589692,1.68888128,19.42246543068,771.41894531
12/17/2015 12:28:14,103.739647592964,1.78743172,19.36372887593,773.17352295
12/17/2015 12:33:14,107.621958542148,1.87154162,19.72334421672,773.1842041
12/17/2015 12:38:14,103.763355042362,1.92249548,19.35085218611,772.95800781
12/17/2015 12:43:14,104.115655537304,2.01676369,19.33401310389,768.21929932
12/17/2015 12:48:14,101.993766220174,2.06415796,19.05424387371,760.96173096
12/17/2015 12:53:14,97.924662384302,2.1416831,18.61798050242,757.19659424
12/17/2015 12:58:14,92.469527575146,2.2324419,18.00601051803,749.95983887
12/17/2015 12:59:59,80.395232209762,2.31698608,16.68897671303,739.58496094
12/17/2015 13:03:14,72.751362771448,2.39234972,15.78197257284,732.18939209
12/17/2015 13:08:14,68.564051294158,2.40992069,15.24440271539,726.81488037
12/17/2015 13:13:14,72.537014625862,2.62599659,15.66361217213,724.02557373
12/17/2015 13:18:14,65.862368134226,2.65335202,14.81736244569,713.83837891
12/17/2015 13:23:14,61.218184353724,2.7629993,14.16832367589,704.43450928
12/17/2015 13:28:14,63.522386421332,2.82537675,14.44625082242,704.78070068
12/17/2015 13:33:14,62.738147468924,2.89849639,14.34847461761,704.16436768
12/17/2015 13:38:14,62.852446017192,2.95457673,14.3813816011,705.49145508
12/17/2015 13:43:14,64.125377994308,3.02898335,14.56208694816,708.39849854
12/17/2015 13:48:14,67.566943523196,3.05240059,14.98088858001,712.81066895
12/17/2015 13:53:14,-5.800832985414,4.52049255,0,1114.84411621
12/17/2015 13:58:14,-5.922182729986,6.09633827,0,1181.0526123
12/17/2015 13:59:59,-6.040273992748,7.29383278,0,1227.03259277
12/17/2015 14:03:14,-5.985996611104,8.11191559,0,1262.35144043
12/17/2015 14:08:14,-6.107038852404,9.19289589,0,1306.84960938
12/17/2015 14:13:14,-6.09705869949,10.55241966,0,1352.73754883
12/17/2015 14:18:14,-6.196105615922,11.70396423,0,1398.61975098
12/17/2015 14:23:14,-6.258119686658,12.73863697,0,1447.59790039
12/17/2015 14:28:14,-6.229002759614,13.71586704,0,1493.82666016
12/17/2015 14:33:14,-6.325058431136,14.58403492,0,1536.7154541
12/17/2015 14:38:14,-6.265282479484,15.43252373,0,1580.20507813
12/17/2015 14:43:14,-6.290046258078,16.21609688,0,1625.15551758
12/17/2015 14:48:14,-6.423184605936,16.94498253,0,1670.55395508
12/17/2015 14:53:14,-6.448695683386,17.61115837,0,1713.73901367
12/17/2015 14:58:14,-6.447208198596,18.23318863,0,1756.05102539
12/17/2015 14:59:59,-6.503910524038,18.62821579,0,1784.67626953
12/17/2015 15:03:14,-6.49526217535,18.97805214,0,1805.36657715
12/17/2015 15:08:14,-6.441008784748,19.38306618,0,1840.41210938
