00/05-04-039-11 W5M/00 Well,,,,
(GMT-07:00) Mountain Time (US & Canada),Differential Pressure [15] (in H2O),Flowing Temperature [13] (°C),Gas Flow Rate [19] (E3M3/Day),Static Pressure [14] (kPa)
12/17/2015 8:18,-6.755667053,16.15239334,0,1920.420288
12/17/2015 8:23,-6.78023155,16.55888748,0,1959.479858
12/17/2015 8:28,-6.790777923,16.94444847,0,1999.846558
12/17/2015 8:33,-6.833193885,17.31369019,0,2039.505493
12/17/2015 8:38,-6.889965652,17.65133667,0,2077.228271
12/17/2015 8:43,-6.854254081,17.97249985,0,2114.059326
12/17/2015 8:48,-6.871145543,18.2705555,0,2151.480957
12/17/2015 8:53,-6.827295303,18.56128883,0,2187.026855
12/17/2015 8:58,-6.920976304,18.82862663,0,2222.611816
12/17/2015 8:59,-6.946364733,19.01084137,0,2245.006592
12/17/2015 9:03,-6.986000748,19.14081573,0,2262.5896
12/17/2015 9:08,-6.943996291,19.31016922,0,2290.200439
12/17/2015 9:13,-6.951652086,19.60972786,0,2323.516113
12/17/2015 9:18,-6.934191992,19.7912941,0,2356.835693
12/17/2015 9:23,-6.932812286,19.94068909,0,2389.087891
12/17/2015 9:28,-6.991569282,20.13187408,0,2420.379395
12/17/2015 9:33,-7.043837484,20.33496475,0,2451.01001
12/17/2015 9:38,-7.056920438,20.52725601,0,2481.307373
12/17/2015 9:43,-6.966968899,20.71589088,0,2511.548828
12/17/2015 9:48,-7.032186879,20.88561821,0,2540.573242
12/17/2015 9:53,-7.078082225,21.00996971,0,2568.725342
12/17/2015 9:58,-7.117277961,21.11143494,0,2596.416504
12/17/2015 9:59,-7.006615442,21.23508644,0,2613.989258
12/17/2015 10:03,-7.018475376,21.29784775,0,2628.84082
12/17/2015 10:08,-7.075405717,21.41633797,0,2650.35376
12/17/2015 10:13,-7.10995129,21.60724831,0,2676.664063
12/17/2015 10:18,-7.151497787,21.73701096,0,2702.76416
12/17/2015 10:23,-7.083561144,21.87068939,0,2728.766113
12/17/2015 10:28,-7.044108137,22.02234268,0,2754.184082
12/17/2015 10:33,-7.088071942,22.21158028,0,2778.803711
12/17/2015 10:38,-7.131709477,22.41191292,0,2801.774658
12/17/2015 10:43,-7.164091638,22.60329437,0,2823.473877
12/17/2015 10:48,915.5680083,11.82909393,79.73489157,1759.518921
12/17/2015 10:53,953.3355268,0.42553368,72.07944539,1293.083252
12/17/2015 10:58,787.947412,-0.11022426,65.5843854,1270.082764
